TransactionNo,Items,DateTime,Daypart,DayType,User,Rating,Description,Category
1610,Hot chocolate,2016-11-18 15:02:04,Afternoon,Weekday,Timothy,0,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
1610,Pastry,2016-11-18 15:02:04,Afternoon,Weekday,Christian,3,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1611,Almond,2016-11-18 15:35:42,Afternoon,Weekday,Melissa,0,A popular carbonated beverage often served alongside cakes to provide a sweet and fizzy contrast.,Pure Veg
1611,Coffee,2016-11-18 15:35:42,Afternoon,Weekday,Nick,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1611,Brownie,2016-11-18 15:35:42,Afternoon,Weekday,Gabriel,3,"Rich, fudgy chocolate cakes with a dense texture, often studded with nuts or chocolate chips.",Pure Veg
1612,Farm House,2016-11-18 15:45:06,Afternoon,Weekday,Ronald,5,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
1613,Coffee,2016-11-18 15:45:54,Afternoon,Weekday,Thomas,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1613,Pastry,2016-11-18 15:45:54,Afternoon,Weekday,Hannah,0,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1614,Farm House,2016-11-18 15:59:41,Afternoon,Weekday,Jill,2,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
1615,Farm House,2016-11-18 16:00:38,Afternoon,Weekday,Frances,4,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
1616,Cookies,2016-11-18 16:03:01,Afternoon,Weekday,Vivian,0,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread.",Pure Veg
1616,Brownie,2016-11-18 16:03:01,Afternoon,Weekday,Garry,1,"Rich, fudgy chocolate cakes with a dense texture, often studded with nuts or chocolate chips.",Pure Veg
1616,Coffee,2016-11-18 16:03:01,Afternoon,Weekday,Gabriel,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1616,Tea,2016-11-18 16:03:01,Afternoon,Weekday,Trina,5,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1617,Tea,2016-11-18 16:06:09,Afternoon,Weekday,Sherry,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1617,Coffee,2016-11-18 16:06:09,Afternoon,Weekday,Daniel,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1617,Medialuna,2016-11-18 16:06:09,Afternoon,Weekday,Clara,0,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1617,Cookies,2016-11-18 16:06:09,Afternoon,Weekday,Elisabeth,3,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread.",Pure Veg
1617,Farm House,2016-11-18 16:06:09,Afternoon,Weekday,Jean,4,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
1618,Bread,2016-11-18 16:07:59,Afternoon,Weekday,Shawn,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1618,Coffee,2016-11-18 16:07:59,Afternoon,Weekday,Clark,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1619,Coffee,2016-11-18 16:17:11,Afternoon,Weekday,Patricia,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1620,Tea,2016-11-18 16:18:33,Afternoon,Weekday,Jim,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1620,Coffee,2016-11-18 16:18:33,Afternoon,Weekday,Elizabeth,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1620,Alfajores,2016-11-18 16:18:33,Afternoon,Weekday,Benjamin,0,"Traditional South American cookies made from delicate shortbread filled with dulce de leche or jam, often coated in powdered sugar or dipped in chocolate.",Desserts
1621,Bread,2016-11-18 16:21:18,Afternoon,Weekday,Timothy,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1621,Hot chocolate,2016-11-18 16:21:18,Afternoon,Weekday,Jake,5,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
1621,Coffee,2016-11-18 16:21:18,Afternoon,Weekday,Theresa,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1622,Medialuna,2016-11-18 17:03:36,Evening,Weekday,Brandon,0,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1622,Tea,2016-11-18 17:03:36,Evening,Weekday,Nicole,5,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1623,Almond,2016-11-18 17:11:53,Evening,Weekday,Carrie,4,A popular carbonated beverage often served alongside cakes to provide a sweet and fizzy contrast.,Pure Veg
1624,Medialuna,2016-11-18 17:13:37,Evening,Weekday,Morris,0,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1625,Fudge,2016-11-18 17:23:35,Evening,Weekday,Priscilla,5,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
1625,Fudge,2016-11-18 17:23:35,Evening,Weekday,Carlos,1,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
1626,Tea,2016-11-18 18:30:23,Evening,Weekday,Michele,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1626,Muffin,2016-11-18 18:30:23,Evening,Weekday,Harry,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
1627,Alfajores,2016-11-18 18:33:15,Evening,Weekday,Michael,2,"Traditional South American cookies made from delicate shortbread filled with dulce de leche or jam, often coated in powdered sugar or dipped in chocolate.",Desserts
1627,Coffee,2016-11-18 18:33:15,Evening,Weekday,Shannon,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1629,Pastry,2016-11-19 08:42:03,Morning,Weekend,Cindy,0,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1629,Bread,2016-11-19 08:42:03,Morning,Weekend,Jacqueline,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1630,Pastry,2016-11-19 08:42:46,Morning,Weekend,Robert,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1630,Coffee,2016-11-19 08:42:46,Morning,Weekend,Ella,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1631,Coffee,2016-11-19 08:53:33,Morning,Weekend,Curtis,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1632,Bread,2016-11-19 08:55:10,Morning,Weekend,Ricky,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1633,Bread,2016-11-19 08:56:08,Morning,Weekend,Scott,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1634,Coffee,2016-11-19 08:57:54,Morning,Weekend,Steve,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1634,Banana cake,2016-11-19 08:57:54,Morning,Weekend,Joanna,4,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors.",Cakes
1634,Tea,2016-11-19 08:57:54,Morning,Weekend,Brad,1,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1635,Bread,2016-11-19 09:12:58,Morning,Weekend,Edward,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1635,Pastry,2016-11-19 09:12:58,Morning,Weekend,Pamela,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1635,Medialuna,2016-11-19 09:12:58,Morning,Weekend,Courtney,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1636,Farm House,2016-11-19 09:15:20,Morning,Weekend,Zach,3,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
1636,Medialuna,2016-11-19 09:15:20,Morning,Weekend,Lisa,5,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1636,Coffee,2016-11-19 09:15:20,Morning,Weekend,Michael,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1637,Coffee,2016-11-19 09:29:09,Morning,Weekend,Wade,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1637,Pastry,2016-11-19 09:29:09,Morning,Weekend,Shelly,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1638,Coffee,2016-11-19 09:31:03,Morning,Weekend,Sandra,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1639,Coffee,2016-11-19 09:31:44,Morning,Weekend,Albert,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1640,Coffee,2016-11-19 09:35:45,Morning,Weekend,Alyssa,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1640,Banana cake,2016-11-19 09:35:45,Morning,Weekend,Erica,3,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors.",Cakes
1640,Medialuna,2016-11-19 09:35:45,Morning,Weekend,Elias,4,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1641,Pastry,2016-11-19 09:40:29,Morning,Weekend,Frank,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1641,Bread,2016-11-19 09:40:29,Morning,Weekend,Ethan,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1641,Coffee,2016-11-19 09:40:29,Morning,Weekend,Christine,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1642,Farm House,2016-11-19 09:46:29,Morning,Weekend,Marian,3,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits.",Pure Veg
1643,Bread,2016-11-19 09:50:22,Morning,Weekend,Stephanie,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1643,Bread,2016-11-19 09:50:22,Morning,Weekend,Ashley,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1644,Bread,2016-11-19 09:55:56,Morning,Weekend,Gordon,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1644,Bread,2016-11-19 09:55:56,Morning,Weekend,Beth,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1644,Tea,2016-11-19 09:55:56,Morning,Weekend,Heidi,5,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1644,Banana cake,2016-11-19 09:55:56,Morning,Weekend,Terrance,4,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors.",Cakes
1645,Bread,2016-11-19 10:01:44,Morning,Weekend,Sheila,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1645,Medialuna,2016-11-19 10:01:44,Morning,Weekend,Ken,2,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1645,Banana cake,2016-11-19 10:01:44,Morning,Weekend,Debra,4,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors.",Cakes
1645,Coffee,2016-11-19 10:01:44,Morning,Weekend,Connie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1646,Bread,2016-11-19 10:04:10,Morning,Weekend,Paula,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1646,Coffee,2016-11-19 10:04:10,Morning,Weekend,Leslie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1646,Medialuna,2016-11-19 10:04:10,Morning,Weekend,Connie,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1646,Bread,2016-11-19 10:04:10,Morning,Weekend,Stefan,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1647,Coffee,2016-11-19 10:04:52,Morning,Weekend,Ashley,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1648,Bread,2016-11-19 10:06:01,Morning,Weekend,Isabelle,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1649,Medialuna,2016-11-19 10:12:36,Morning,Weekend,Vanessa,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1649,Pastry,2016-11-19 10:12:36,Morning,Weekend,Kelly,4,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1649,Bread,2016-11-19 10:12:36,Morning,Weekend,Andrew,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1650,Bread,2016-11-19 10:14:15,Morning,Weekend,April,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1650,Pastry,2016-11-19 10:14:15,Morning,Weekend,Ron,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1651,Medialuna,2016-11-19 10:15:08,Morning,Weekend,Danny,0,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1651,Coffee,2016-11-19 10:15:08,Morning,Weekend,Nathaniel,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1652,Bread,2016-11-19 10:15:26,Morning,Weekend,Ted,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1653,Bread,2016-11-19 10:16:42,Morning,Weekend,Pamela,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1654,Coffee,2016-11-19 10:17:27,Morning,Weekend,Simon,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1654,Coffee,2016-11-19 10:17:27,Morning,Weekend,Brent,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1655,Focaccia,2016-11-19 10:19:24,Morning,Weekend,Nancy,0,"Italian flatbread flavored with herbs and olive oil, often served as an appetizer or accompaniment to meals.",Rolls
1656,Coffee,2016-11-19 10:19:48,Morning,Weekend,Herman,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1657,Hot chocolate,2016-11-19 10:20:39,Morning,Weekend,Eddie,0,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
1657,Pastry,2016-11-19 10:20:39,Morning,Weekend,Morris,0,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1658,Coffee,2016-11-19 10:30:52,Morning,Weekend,Caleb,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1658,Hot chocolate,2016-11-19 10:30:52,Morning,Weekend,Tom,4,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
1659,Bread,2016-11-19 10:33:24,Morning,Weekend,Geoff,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1660,Bread,2016-11-19 10:34:59,Morning,Weekend,Penny,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1660,Coffee,2016-11-19 10:34:59,Morning,Weekend,Casey,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1661,Pastry,2016-11-19 10:35:53,Morning,Weekend,Keith,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1661,Scandinavian,2016-11-19 10:35:53,Morning,Weekend,Rick,2,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
1661,Muffin,2016-11-19 10:35:53,Morning,Weekend,Maureen,3,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
1662,Focaccia,2016-11-19 10:37:20,Morning,Weekend,Danielle,4,"Italian flatbread flavored with herbs and olive oil, often served as an appetizer or accompaniment to meals.",Rolls
1662,Bread,2016-11-19 10:37:20,Morning,Weekend,Shelly,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1663,Bread,2016-11-19 10:38:19,Morning,Weekend,Mathew,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1664,Muffin,2016-11-19 10:41:07,Morning,Weekend,Floyd,5,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
1665,Caramel bites,2016-11-19 10:44:21,Morning,Weekend,Judith,2,"Small, bite-sized confections made from caramelized sugar, butter, and cream, often coated in chocolate or nuts.",Desserts
1665,Coffee,2016-11-19 10:44:21,Morning,Weekend,Clayton,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1665,Medialuna,2016-11-19 10:44:21,Morning,Weekend,Billy,5,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1666,Tartine,2016-11-19 10:50:35,Morning,Weekend,Tara,0,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack.",Sandwiches
1666,Tea,2016-11-19 10:50:35,Morning,Weekend,Brett,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1666,Muffin,2016-11-19 10:50:35,Morning,Weekend,Christopher,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
1667,Bread,2016-11-19 10:54:02,Morning,Weekend,Madeline,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1668,Bread,2016-11-19 10:57:17,Morning,Weekend,Deborah,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1668,Focaccia,2016-11-19 10:57:17,Morning,Weekend,Shane,0,"Italian flatbread flavored with herbs and olive oil, often served as an appetizer or accompaniment to meals.",Rolls
1668,Tea,2016-11-19 10:57:17,Morning,Weekend,Marc,1,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1668,Coffee,2016-11-19 10:57:17,Morning,Weekend,Juan,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1669,Jam,2016-11-19 11:00:26,Morning,Weekend,Lester,3,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture.",Desserts
1670,Focaccia,2016-11-19 11:01:24,Morning,Weekend,Alicia,4,"Italian flatbread flavored with herbs and olive oil, often served as an appetizer or accompaniment to meals.",Rolls
1671,Coffee,2016-11-19 11:03:53,Morning,Weekend,Cheryl,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1671,Medialuna,2016-11-19 11:03:53,Morning,Weekend,Dave,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1671,Muffin,2016-11-19 11:03:53,Morning,Weekend,Bruce,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
1672,Bread,2016-11-19 11:05:47,Morning,Weekend,Christian,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1672,Coffee,2016-11-19 11:05:47,Morning,Weekend,Carla,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1673,Coffee,2016-11-19 11:06:42,Morning,Weekend,Danny,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1673,Muffin,2016-11-19 11:06:42,Morning,Weekend,Brianna,1,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
1674,Coffee,2016-11-19 11:17:59,Morning,Weekend,Sonia,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1675,Coffee,2016-11-19 11:19:40,Morning,Weekend,Derek,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1676,Bread,2016-11-19 11:24:19,Morning,Weekend,Julia,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1677,Coffee,2016-11-19 11:35:43,Morning,Weekend,Victor,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1677,Coffee,2016-11-19 11:35:43,Morning,Weekend,Geoff,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1678,Coffee,2016-11-19 11:36:27,Morning,Weekend,Brittany,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1678,Coffee,2016-11-19 11:36:27,Morning,Weekend,Ryan,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1679,Coffee,2016-11-19 11:36:48,Morning,Weekend,Holly,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1679,Coffee,2016-11-19 11:36:48,Morning,Weekend,Zachary,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1680,Coffee,2016-11-19 11:41:12,Morning,Weekend,Renee,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1681,Tea,2016-11-19 11:46:46,Morning,Weekend,Connor,1,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1682,Fudge,2016-11-19 11:48:46,Morning,Weekend,Brent,2,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
1683,Medialuna,2016-11-19 11:52:03,Morning,Weekend,Jacob,2,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1683,Bread,2016-11-19 11:52:03,Morning,Weekend,Margaret,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1683,Tea,2016-11-19 11:52:03,Morning,Weekend,Gene,3,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1683,Coffee,2016-11-19 11:52:03,Morning,Weekend,Fannie,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1683,Coffee,2016-11-19 11:52:03,Morning,Weekend,Brittany,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1683,Ella's Kitchen Pouches,2016-11-19 11:52:03,Morning,Weekend,Becky,5,"Convenient, portable snacks for infants and toddlers, offering a variety of pureed fruits and vegetables.",Pure Veg
1684,Apple pie,2016-11-19 12:02:41,Afternoon,Weekend,Luis,3,"British sandwich cookies filled with jam and topped with a decorative heart, perfect for tea time or snacking.",Desserts
1685,Bread,2016-11-19 12:05:54,Afternoon,Weekend,Ray,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1686,Tea,2016-11-19 12:12:38,Afternoon,Weekend,Wesley,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1686,Coffee,2016-11-19 12:12:38,Afternoon,Weekend,Philip,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1686,Soup,2016-11-19 12:12:38,Afternoon,Weekend,Keith,5,"Warm, comforting soups served alongside cakes for a satisfying meal.",Pure Veg
1686,Banana cake,2016-11-19 12:12:38,Afternoon,Weekend,Justin,4,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors.",Cakes
1687,Coffee,2016-11-19 12:34:02,Afternoon,Weekend,Carl,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1688,Coffee,2016-11-19 12:39:44,Afternoon,Weekend,Connor,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1689,Coffee,2016-11-19 12:44:44,Afternoon,Weekend,Liz,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1689,Muffin,2016-11-19 12:44:44,Afternoon,Weekend,Albert,3,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
1690,Coffee,2016-11-19 12:47:19,Afternoon,Weekend,Jacob,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1690,Bread,2016-11-19 12:47:19,Afternoon,Weekend,Kelly,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1690,Soup,2016-11-19 12:47:19,Afternoon,Weekend,Paula,5,"Warm, comforting soups served alongside cakes for a satisfying meal.",Pure Veg
1691,Coffee,2016-11-19 13:04:28,Afternoon,Weekend,Alfred,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1691,Tea,2016-11-19 13:04:28,Afternoon,Weekend,Wade,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1691,Medialuna,2016-11-19 13:04:28,Afternoon,Weekend,Erik,5,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1692,Alfajores,2016-11-19 13:10:41,Afternoon,Weekend,Madison,4,"Traditional South American cookies made from delicate shortbread filled with dulce de leche or jam, often coated in powdered sugar or dipped in chocolate.",Desserts
1693,Bread,2016-11-19 13:14:17,Afternoon,Weekend,Adam,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
1694,Coffee,2016-11-19 13:15:55,Afternoon,Weekend,Neil,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1694,Coffee,2016-11-19 13:15:55,Afternoon,Weekend,Kelly,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
1694,Tartine,2016-11-19 13:15:55,Afternoon,Weekend,Isabella,3,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack.",Sandwiches
1694,Medialuna,2016-11-19 13:15:55,Afternoon,Weekend,Chad,4,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
1694,Pastry,2016-11-19 13:15:55,Afternoon,Weekend,Roger,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats.",Pure Veg
1695,Tea,2016-11-19 13:16:27,Afternoon,Weekend,Marlene,1,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
1695,Tartine,2016-11-19 13:16:27,Afternoon,Weekend,Keith,2,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack.",Sandwiches
